question,correct,sp_precision,sp_recall,generated_answer,gold_answer,subquery_1,subquery_2,subquery_3,subquery_4,subquery_5,subanswer_1,subanswer_2,subanswer_3,subanswer_4,subanswer_5,num_retrieved,num_gold,retrieved_1,retrieved_2,retrieved_3,retrieved_4,retrieved_5,retrieved_6,retrieved_7,retrieved_8,retrieved_9,retrieved_10,retrieved_11,retrieved_12,retrieved_13,retrieved_14,retrieved_15,retrieved_16,retrieved_17,retrieved_18,retrieved_19,retrieved_20,retrieved_21,retrieved_22,retrieved_23,retrieved_24,retrieved_25,retrieved_26,retrieved_27,retrieved_28,retrieved_29,retrieved_30,retrieved_31,gold_1,gold_2,gold_3,gold_4,gold_5
Were Scott Derrickson and Ed Wood of the same nationality?,0,0.0833,0.5,No,yes,"Who directed ""Alien"" and ""Blade""? [ANSWER_1]",What is the nationality of James Cameron? [ANSWER_2],,,,James Cameron,American,,,,12,2,"Scott Derrickson (born July 16, 1966) is an American director, screenwriter and producer.","He lives in Los Angeles, California.","He is best known for directing horror films such as ""Sinister"", ""The Exorcism of Emily Rose"", and ""Deliver Us From Evil"", as well as the 2016 Marvel Cinematic Universe installment, ""Doctor Strange.""","Doctor Strange is a 2016 American superhero film based on the Marvel Comics character of the same name, produced by Marvel Studios and distributed by Walt Disney Studios Motion Pictures.",It is the fourteenth film of the Marvel Cinematic Universe (MCU).,"The film was directed by Scott Derrickson, who wrote it with Jon Spaihts and C. Robert Cargill, and stars Benedict Cumberbatch as Stephen Strange, along with Chiwetel Ejiofor, Rachel McAdams, Benedict Wong, Michael Stuhlbarg, Benjamin Bratt, Scott Adkins, Mads Mikkelsen, and Tilda Swinton.","In ""Doctor Strange"", surgeon Strange learns the mystic arts after a career-ending car accident.",Adam Collis is an American filmmaker and actor.,"He attended the Duke University from 1986 to 1990 and the University of California, Los Angeles from 2007 to 2010.",He also studied cinema at the University of Southern California from 1991 to 1997.,"Collis first work was the assistant director for the Scott Derrickson's short ""Love in the Ruins"" (1995).","In 1998, he played ""Crankshaft"" in Eric Koyanagi's ""Hundred Percent"".",,,,,,,,,,,,,,,,,,,,"Scott Derrickson (born July 16, 1966) is an American director, screenwriter and producer.","Edward Davis Wood Jr. (October 10, 1924 – December 10, 1978) was an American filmmaker, actor, writer, producer, and director.",,,
What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,0,0.25,1.0,United States ambassador,Chief of Protocol,Who portrayed Corliss Archer in the film Kiss and Tell? [ANSWER_1],What government position did Shirley Temple hold? [ANSWER_2],,,,Shirley Temple,United States ambassador,,,,12,3,Kiss and Tell is a 1945 American comedy film starring then 17-year-old Shirley Temple as Corliss Archer.,"In the film, two teenage girls cause their respective parents much concern when they start to become interested in boys.",The parents' bickering about which girl is the worse influence causes more problems than it solves.,A Kiss for Corliss is a 1949 American comedy film directed by Richard Wallace and written by Howard Dimsdale.,It stars Shirley Temple in her final starring role as well as her final film appearance.,"It is a sequel to the 1945 film ""Kiss and Tell"".","""A Kiss for Corliss"" was retitled ""Almost a Bride"" before release and this title appears in the title sequence.","The film was released on November 25, 1949, by United Artists.","Shirley Temple Black (April 23, 1928 – February 10, 2014) was an American actress, singer, dancer, businesswoman, and diplomat who was Hollywood's number one box-office draw as a child actress from 1935 to 1938.","As an adult, she was named United States ambassador to Ghana and to Czechoslovakia and also served as Chief of Protocol of the United States.",The post of Lord High Treasurer or Lord Treasurer was an English government position and has been a British government position since the Acts of Union of 1707.,"A holder of the post would be the third-highest-ranked Great Officer of State, below the Lord High Steward and the Lord High Chancellor.",,,,,,,,,,,,,,,,,,,,Kiss and Tell is a 1945 American comedy film starring then 17-year-old Shirley Temple as Corliss Archer.,"Shirley Temple Black (April 23, 1928 – February 10, 2014) was an American actress, singer, dancer, businesswoman, and diplomat who was Hollywood's number one box-office draw as a child actress from 1935 to 1938.","As an adult, she was named United States ambassador to Ghana and to Czechoslovakia and also served as Chief of Protocol of the United States.",,
"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",0,0.2174,1.0,"Animorphs, The Hork-Bajir Chronicles",Animorphs,Identify the science fantasy young adult series that is told in first person.,Animorphs is the name of the series.,Determine the set of companion books that narrate the stories of enslaved worlds and alien species.,Animorphs are the names of the companion books.,Find the year the main series was published.,Animorphs,Animorphs,The Hork-Bajir Chronicles,The Hork-Bajir Chronicles,1997,23,5,"Animorphs is a science fantasy series of young adult books written by Katherine Applegate and her husband Michael Grant, writing together under the name K. A. Applegate, and published by Scholastic.","It is told in first person, with all six main characters taking turns narrating the books through their own perspectives.","Horror, war, dehumanization, sanity, morality, innocence, leadership, freedom and growing up are the core themes of the series.",The Andre Norton Award for Young Adult Science Fiction and Fantasy is an annual award presented by the Science Fiction and Fantasy Writers of America (SFWA) to the author of the best young adult or middle grade science fiction or fantasy book published in the United States in the preceding year.,"It is named to honor prolific science fiction and fantasy author Andre Norton (1912–2005), and it was established by then SFWA president Catherine Asaro and the SFWA Young Adult Fiction committee and announced on February 20, 2005.","Any published young adult or middle grade science fiction or fantasy novel is eligible for the prize, including graphic novels.",There is no limit on word count.,"The award is presented along with the Nebula Awards and follows the same rules for nominations and voting; as the awards are separate, works may be simultaneously nominated for both the Andre Norton award and a Nebula Award.","The Hork-Bajir Chronicles is the second companion book to the ""Animorphs"" series, written by K. A. Applegate.","With respect to continuity within the series, it takes place before book #23, ""The Pretender"", although the events told in the story occur between the time of ""The Ellimist Chronicles"" and ""The Andalite Chronicles"".","The book is introduced by Tobias, who flies to the valley of the free Hork-Bajir, where Jara Hamee tells him the story of how the Yeerks enslaved the Hork-Bajir, and how Aldrea, an Andalite, and her companion, Dak Hamee, a Hork-Bajir, tried to save their world from the invasion.","Jara Hamee's story is narrated from the points of view of Aldrea, Dak Hamee, and Esplin 9466, alternating in similar fashion to the ""Megamorphs"" books.","Dozens of Square Enix companion books have been produced since 1998, when video game developer Square began to produce books that focused on artwork, developer interviews, and background information on the fictional worlds and characters in its games rather than on gameplay details.","The first series of these books was the ""Perfect Works"" series, written and published by Square subsidiary DigiCube.","They produced three books between 1998 and 1999 before the line was stopped in favor of the ""Ultimania"" (アルティマニア , Arutimania ) series, a portmanteau of ultimate and mania.","This series of books is written by Studio BentStuff, which had previously written game guides for Square for ""Final Fantasy VII"".",They were published by DigiCube until the company was dissolved in 2003.,"Square merged with video game publisher Enix on April 1, 2003 to form Square Enix, which resumed publication of the companion books.","""Left Behind: The Kids (stylized as LEFT BEHIND >THE KIDS<)"" is a series written by Jerry B. Jenkins, Tim LaHaye, and Chris Fabry.",The series consists of 40 short novels aimed primarily at the young adult market based on the adult series Left Behind also written by Jerry B. Jenkins.,"It follows a core group of teenagers as they experience the rapture and tribulation, based on scriptures found in the Bible, and background plots introduced in the adult novels.","Like the adult series, the books were published by Tyndale House Publishing, and released over the 7 year period of 1997-2004.",The series has sold over 11 million copies worldwide.,,,,,,,,,"The Hork-Bajir Chronicles is the second companion book to the ""Animorphs"" series, written by K. A. Applegate.","With respect to continuity within the series, it takes place before book #23, ""The Pretender"", although the events told in the story occur between the time of ""The Ellimist Chronicles"" and ""The Andalite Chronicles"".","The book is introduced by Tobias, who flies to the valley of the free Hork-Bajir, where Jara Hamee tells him the story of how the Yeerks enslaved the Hork-Bajir, and how Aldrea, an Andalite, and her companion, Dak Hamee, a Hork-Bajir, tried to save their world from the invasion.","Animorphs is a science fantasy series of young adult books written by Katherine Applegate and her husband Michael Grant, writing together under the name K. A. Applegate, and published by Scholastic.","It is told in first person, with all six main characters taking turns narrating the books through their own perspectives."
Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,1,0.2222,1.0,No,no,What is the Laleli Mosque located in? [ANSWER_1],What is the Esma Sultan Mansion located in? [ANSWER_2],"Are Laleli, Fatih, Istanbul, Turkey and Istanbul, Turkey in the same neighborhood? [ANSWER_3]",,,"Laleli, Fatih, Istanbul, Turkey","Istanbul, Turkey",No,,,9,2,"The Laleli Mosque (Turkish: ""Laleli Camii, or Tulip Mosque"" ) is an 18th-century Ottoman imperial mosque located in Laleli, Fatih, Istanbul, Turkey.","The Sultan Ahmed Mosque or Sultan Ahmet Mosque (Turkish: ""Sultan Ahmet Camii"" ) is a historic mosque located in Istanbul, Turkey.","A popular tourist site, the Sultan Ahmed Mosque continues to function as a mosque today; men still kneel in prayer on the mosque's lush red carpet after the call to prayer.","The Blue Mosque, as it is popularly known, was constructed between 1609 and 1616 during the rule of Ahmed I.","Its Külliye contains Ahmed's tomb, a madrasah and a hospice.","Hand-painted blue tiles adorn the mosque’s interior walls, and at night the mosque is bathed in blue as lights frame the mosque’s five main domes, six minarets and eight secondary domes.","It sits next to the Hagia Sophia, another popular tourist site.","The Esma Sultan Mansion (Turkish: ""Esma Sultan Yalısı"" ), a historical yalı (English: waterside mansion ) located at Bosphorus in Ortaköy neighborhood of Istanbul, Turkey and named after its original owner Esma Sultan, is used today as a cultural center after being redeveloped.",Esma Sultan is the name of three daughters of three Ottoman Sultans:,,,,,,,,,,,,,,,,,,,,,,,"The Laleli Mosque (Turkish: ""Laleli Camii, or Tulip Mosque"" ) is an 18th-century Ottoman imperial mosque located in Laleli, Fatih, Istanbul, Turkey.","The Esma Sultan Mansion (Turkish: ""Esma Sultan Yalısı"" ), a historical yalı (English: waterside mansion ) located at Bosphorus in Ortaköy neighborhood of Istanbul, Turkey and named after its original owner Esma Sultan, is used today as a cultural center after being redeveloped.",,,
"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?",0,0.1,0.5,Virginia,"Greenwich Village, New York City","What is the name of the romantic comedy ""Big Stone Gap""? [ANSWER_1]","What city is the director of ""Big Stone Gap"" based in? [ANSWER_2]",,,,Big Stone Gap,Virginia,,,,10,2,"Big Stone Gap is a 2014 American drama romantic comedy film written and directed by Adriana Trigiani and produced by Donna Gigliotti for Altar Identity Studios, a subsidiary of Media Society.","Based on Trigiani's 2000 best-selling novel of the same name, the story is set in the actual Virginia town of Big Stone Gap circa 1970s.","The film had its world premiere at the Virginia Film Festival on November 6, 2014.",Just Another Romantic Wrestling Comedy is a 2006 film starring April Hunter and Joanie Laurer.,"This Romantic comedy film was premiered at New Jersey and New York City on December 1, 2006 and was released on DVD in the United States and the United Kingdom on April 17, 2007.","After the film's DVD release ""Just Another Romantic Wrestling Comedy"" won an ""Honorable Mention"" award at the New Jersey International Festival awards.","The release is being handled by ""Victory Multimedia"".","Clinton is a city in Big Stone County, Minnesota, United States.",The city was named for New York Governor DeWitt Clinton.,The population was 449 at the 2010 census.,,,,,,,,,,,,,,,,,,,,,,"Big Stone Gap is a 2014 American drama romantic comedy film written and directed by Adriana Trigiani and produced by Donna Gigliotti for Altar Identity Studios, a subsidiary of Media Society.","Adriana Trigiani is an Italian American best-selling author of sixteen books, television writer, film director, and entrepreneur based in Greenwich Village, New York City.",,,
2014 S/S is the debut album of a South Korean boy group that was formed by who?,0,0.2222,1.0,Winner,YG Entertainment,What is the name of the South Korean boy group that was formed by the person mentioned in the question? [ANSWER_1],When was the debut album of Winner released? [ANSWER_2],,,,Winner,"August 12, 2014",,,,9,2,"Winner (Hangul: 위너), often stylized as WINNER, is a South Korean boy group formed in 2013 by YG Entertainment and debuted in 2014.","It currently consists of four members, Jinwoo, Seunghoon, Mino and Seungyoon.","Originally a five-piece group with Taehyun, who later departed from the group in November 2016.",SF9 (Korean: 에스에프나인 ; shortened from Sensational Feeling 9) is a South Korean boy group formed by FNC Entertainment.,SF9 is the company's first dance boy group to ever debut.,"SF9 debuted on October 5, 2016 with the release of their first single album ""Feeling Sensation"".",2014 S/S is the debut album of South Korean group WINNER.,"It was released on August 12, 2014 by the group's record label, YG Entertainment.",The members were credited for writing the lyrics and composing the majority of the album's songs.,,,,,,,,,,,,,,,,,,,,,,,2014 S/S is the debut album of South Korean group WINNER.,"Winner (Hangul: 위너), often stylized as WINNER, is a South Korean boy group formed in 2013 by YG Entertainment and debuted in 2014.",,,
Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,1,0.2857,1.0,Eenasul Fateh,Eenasul Fateh,Who was known by his stage name Aladin? [ANSWER_1],What did Eenasul Fateh help organizations improve? [ANSWER_2],"As a consultant, what did Eenasul Fateh do? [ANSWER_3]",,,Eenasul Fateh,Improvement of organizational performance,Developed plans for improvement,,,7,2,"Eenasul Fateh (Bengali: ঈনাসুল ফাতেহ ; born 3 April 1959), also known by his stage name Aladin, is a Bangladeshi-British cultural practitioner, magician, live artist and former international management consultant.","Mick Batyske (known by his stage name Mick, sometimes styled as MICK, and formerly Mick Boogie) is an American DJ and entrepreneur.","He is an A-list DJ and spun private parties for celebrities including Kanye West, LeBron James, Jay-Z and Will Smith.","In addition to his mix tape releases, he has performed in venues internationally, including New York City, Dubai, Tokyo, Las Vegas, and Los Angeles.","As an entrepreneur, he has invested in various start-up companies including Localeur, in which he is also an advisor and consultant.","Management consulting is the practice of helping organizations to improve their performance, operating primarily through the analysis of existing organizational problems and the development of plans for improvement.","Organizations may draw upon the services of management consultants for a number of reasons, including gaining external (and presumably objective) advice and access to the consultants' specialized expertise.",,,,,,,,,,,,,,,,,,,,,,,,,"Eenasul Fateh (Bengali: ঈনাসুল ফাতেহ ; born 3 April 1959), also known by his stage name Aladin, is a Bangladeshi-British cultural practitioner, magician, live artist and former international management consultant.","Management consulting is the practice of helping organizations to improve their performance, operating primarily through the analysis of existing organizational problems and the development of plans for improvement.",,,
The arena where the Lewiston Maineiacs played their home games can seat how many people?,1,0.3333,1.0,"3,677","3,677 seated",What is the name of the arena where the Lewiston Maineiacs played their home games? [ANSWER_1],How many people can the arena Androscoggin Bank Colisée seat? [ANSWER_2],,,,Androscoggin Bank Colisée,"3,677",,,,6,2,"The Lewiston Maineiacs were a junior ice hockey team of the Quebec Major Junior Hockey League based in Lewiston, Maine.",The team played its home games at the Androscoggin Bank Colisée.,"They were the second QMJHL team in the United States, and the only one to play a full season.",They won the President's Cup in 2007.,"The Androscoggin Bank Colisée (formerly Central Maine Civic Center and Lewiston Colisee) is a 4,000 capacity (3,677 seated) multi-purpose arena, in Lewiston, Maine, that opened in 1958.",In 1965 it was the location of the World Heavyweight Title fight during which one of the most famous sports photographs of the century was taken of Muhammed Ali standing over Sonny Liston.,,,,,,,,,,,,,,,,,,,,,,,,,,The team played its home games at the Androscoggin Bank Colisée.,"The Androscoggin Bank Colisée (formerly Central Maine Civic Center and Lewiston Colisee) is a 4,000 capacity (3,677 seated) multi-purpose arena, in Lewiston, Maine, that opened in 1958.",,,
"Who is older, Annie Morton or Terry Richardson?",1,0.4286,1.0,Terry Richardson,Terry Richardson,"Who is older, Annie Morton or Terry Richardson? [ANSWER_1]","Who is older, Annie Morton or Terry Richardson? [ANSWER_2]",,,,Terry Richardson,Terry Richardson,,,,7,3,"Terrence ""Uncle Terry"" Richardson (born August 14, 1965) is an American fashion and portrait photographer who has shot advertising campaigns for Marc Jacobs, Aldo, Supreme, Sisley, Tom Ford, and Yves Saint Laurent among others.","He has also done work for magazines such as ""Rolling Stone"", ""GQ"", ""Vogue"", ""Vanity Fair"", ""Harper's Bazaar"", ""i-D"", and ""Vice"".","Annie Morton (born October 8, 1970) is an American model born in Pennsylvania.","She has appeared on the covers of ""British Vogue"", ""ID"", ""Marie Claire"", and other magazines.","She has been photographed by Helmut Newton; Peter Lindbergh; Annie Leibovitz; Richard Avedon; Juergen Teller; Paul Jasmin, Mary Ellen Mark and Terry Richardson, and modeled for Donna Karan, Givenchy, Guerlain, Chanel, ""Harper's Bazaar"", ""Sports Illustrated"" and Victoria's Secret.","A long time vegetarian, an advocate for organic lifestyle choices and natural healthcare.","She co-founded Tsi-La Organics, a ""Green Luxury"" company that creates and sells vegan, organic perfume and skin care products.",,,,,,,,,,,,,,,,,,,,,,,,,"Annie Morton (born October 8, 1970) is an American model born in Pennsylvania.","She has been photographed by Helmut Newton; Peter Lindbergh; Annie Leibovitz; Richard Avedon; Juergen Teller; Paul Jasmin, Mary Ellen Mark and Terry Richardson, and modeled for Donna Karan, Givenchy, Guerlain, Chanel, ""Harper's Bazaar"", ""Sports Illustrated"" and Victoria's Secret.","Terrence ""Uncle Terry"" Richardson (born August 14, 1965) is an American fashion and portrait photographer who has shot advertising campaigns for Marc Jacobs, Aldo, Supreme, Sisley, Tom Ford, and Yves Saint Laurent among others.",,
Are Local H and For Against both from the United States?,1,0.0909,1.0,Yes,yes,Are Local H from the United States? [ANSWER_1],Are For Against from the United States? [ANSWER_2],"If both are from the United States, are they both from the same country? [ANSWER_3]",,,Yes,Yes,Yes,,,22,2,"Local H is an American rock band originally formed by guitarist and vocalist Scott Lucas, bassist Matt Garcia, drummer Joe Daniels, and lead guitarist John Sparkman in Zion, Illinois in 1987.",The members all met in high school in 1987 and founded Local H three years later.,Hallelujah!,I'm A Bum is the seventh studio album by Chicago-based rock band Local H.,Interviews with the band have revealed that it is a concept album based on politics in the United States.,"Although the album was completed in spring of 2012, the band chose to release it in September as to be closer to the 2012 presidential election.",The album makes frequent use of the sounds of the El Train in Chicago to transition songs.,"For Against is a United States post-punk/dream pop band from Lincoln, Nebraska.","Despite numerous lineup shuffles and some periods of dormancy, the band has produced material steadily from its 1984 inception to the present.",Ophur was a rock band from the Chicago suburbs in DuPage County.,"The band performed in the midwestern United States over the course of seven years with national acts including The Plain White T's, Sum 41, Violent Femmes, Local H, Lucky Boys Confusion, Veruca Salt, Two Skinee J's, Duvall, Sleeping at Last, and others.","Their music has been described as an eclectic amalgamation of U2, Red Hot Chili Peppers, and Pink Floyd.","Mendocino County, California, was the first jurisdiction in the United States to ban the cultivation, production or distribution of genetically modified organisms (GMOs).","The ordinance, entitled Measure H, was passed by referendum on March 2, 2004.","Initiated by the group ""GMO Free Mendocino"", the campaign was a highly publicized grassroots effort by local farmers and environmental groups who contend that the potential risks of GMOs to human health and the ecosystem have not yet been fully understood.","The measure was met with opposition by several interest groups representing the biotechnology industry, The California Plant Health Association (now the Western Plant Health Association) and CropLife America, a Washington-based consortium whose clients represent some of the largest food distributors in the nation, including Monsanto, DuPont and Dow Chemical.","Since the enactment of the ordinance, Mendocino County has been added to an international list of ""GMO free zones.""",Pre-emptive statutes banning local municipalities from such ordinances have now become widespread with adoption in sixteen states.,"Amherst ( ) is a town in Hampshire County, Massachusetts, United States, in the Connecticut River valley.","As of the 2010 census, the population was 37,819, making it the largest municipality in Hampshire County (although the county seat is Northampton).","The town is home to Amherst College, Hampshire College, and the University of Massachusetts Amherst, three of the Five Colleges.","The name of the town is pronounced without the ""h"" (""AM-erst""), giving rise to the local saying, ""only the 'h' is silent"", in reference both to the pronunciation and to the town's politically active populace.",,,,,,,,,,"Local H is an American rock band originally formed by guitarist and vocalist Scott Lucas, bassist Matt Garcia, drummer Joe Daniels, and lead guitarist John Sparkman in Zion, Illinois in 1987.","For Against is a United States post-punk/dream pop band from Lincoln, Nebraska.",,,
