question,correct,sp_precision,sp_recall,generated_answer,gold_answer,subquery_1,subquery_2,subquery_3,subquery_4,subanswer_1,subanswer_2,subanswer_3,subanswer_4,num_retrieved,num_gold,retrieved_1,retrieved_2,retrieved_3,retrieved_4,retrieved_5,retrieved_6,retrieved_7,retrieved_8,retrieved_9,retrieved_10,retrieved_11,retrieved_12,retrieved_13,retrieved_14,retrieved_15,retrieved_16,retrieved_17,retrieved_18,retrieved_19,retrieved_20,retrieved_21,retrieved_22,retrieved_23,retrieved_24,retrieved_25,retrieved_26,retrieved_27,retrieved_28,retrieved_29,retrieved_30,retrieved_31,gold_1,gold_2,gold_3,gold_4,gold_5
Were Scott Derrickson and Ed Wood of the same nationality?,1,0.1818,1.0,Yes,yes,The nationality of Scott Derrickson is [ANSWER_1].,The nationality of Ed Wood is [ANSWER_2].,,,American,American,,,11,2,"Scott Derrickson (born July 16, 1966) is an American director, screenwriter and producer.","He lives in Los Angeles, California.","He is best known for directing horror films such as ""Sinister"", ""The Exorcism of Emily Rose"", and ""Deliver Us From Evil"", as well as the 2016 Marvel Cinematic Universe installment, ""Doctor Strange.""","Doctor Strange is a 2016 American superhero film based on the Marvel Comics character of the same name, produced by Marvel Studios and distributed by Walt Disney Studios Motion Pictures.",It is the fourteenth film of the Marvel Cinematic Universe (MCU).,"The film was directed by Scott Derrickson, who wrote it with Jon Spaihts and C. Robert Cargill, and stars Benedict Cumberbatch as Stephen Strange, along with Chiwetel Ejiofor, Rachel McAdams, Benedict Wong, Michael Stuhlbarg, Benjamin Bratt, Scott Adkins, Mads Mikkelsen, and Tilda Swinton.","In ""Doctor Strange"", surgeon Strange learns the mystic arts after a career-ending car accident.","Ed Wood is a 1994 American biographical period comedy-drama film directed and produced by Tim Burton, and starring Johnny Depp as cult filmmaker Ed Wood.","The film concerns the period in Wood's life when he made his best-known films as well as his relationship with actor Bela Lugosi, played by Martin Landau.","Sarah Jessica Parker, Patricia Arquette, Jeffrey Jones, Lisa Marie, and Bill Murray are among the supporting cast.","Edward Davis Wood Jr. (October 10, 1924 – December 10, 1978) was an American filmmaker, actor, writer, producer, and director.",,,,,,,,,,,,,,,,,,,,,"Scott Derrickson (born July 16, 1966) is an American director, screenwriter and producer.","Edward Davis Wood Jr. (October 10, 1924 – December 10, 1978) was an American filmmaker, actor, writer, producer, and director.",,,
What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,0,0.25,1.0,United States ambassador,Chief of Protocol,The actress who portrayed Corliss Archer in the film *Kiss and Tell* is [ANSWER_1].,The government position held by Shirley Temple was [ANSWER_2].,,,Shirley Temple,United States ambassador,,,12,3,Kiss and Tell is a 1945 American comedy film starring then 17-year-old Shirley Temple as Corliss Archer.,"In the film, two teenage girls cause their respective parents much concern when they start to become interested in boys.",The parents' bickering about which girl is the worse influence causes more problems than it solves.,A Kiss for Corliss is a 1949 American comedy film directed by Richard Wallace and written by Howard Dimsdale.,It stars Shirley Temple in her final starring role as well as her final film appearance.,"It is a sequel to the 1945 film ""Kiss and Tell"".","""A Kiss for Corliss"" was retitled ""Almost a Bride"" before release and this title appears in the title sequence.","The film was released on November 25, 1949, by United Artists.","Shirley Temple Black (April 23, 1928 – February 10, 2014) was an American actress, singer, dancer, businesswoman, and diplomat who was Hollywood's number one box-office draw as a child actress from 1935 to 1938.","As an adult, she was named United States ambassador to Ghana and to Czechoslovakia and also served as Chief of Protocol of the United States.",The post of Lord High Treasurer or Lord Treasurer was an English government position and has been a British government position since the Acts of Union of 1707.,"A holder of the post would be the third-highest-ranked Great Officer of State, below the Lord High Steward and the Lord High Chancellor.",,,,,,,,,,,,,,,,,,,,Kiss and Tell is a 1945 American comedy film starring then 17-year-old Shirley Temple as Corliss Archer.,"Shirley Temple Black (April 23, 1928 – February 10, 2014) was an American actress, singer, dancer, businesswoman, and diplomat who was Hollywood's number one box-office draw as a child actress from 1935 to 1938.","As an adult, she was named United States ambassador to Ghana and to Czechoslovakia and also served as Chief of Protocol of the United States.",,
"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",1,0.25,0.4,Animorphs,Animorphs,The science fantasy young adult series told in first-person perspective is [ANSWER_1].,,,,Animorphs,,,,8,5,"Animorphs is a science fantasy series of young adult books written by Katherine Applegate and her husband Michael Grant, writing together under the name K. A. Applegate, and published by Scholastic.","It is told in first person, with all six main characters taking turns narrating the books through their own perspectives.","Horror, war, dehumanization, sanity, morality, innocence, leadership, freedom and growing up are the core themes of the series.",The Andre Norton Award for Young Adult Science Fiction and Fantasy is an annual award presented by the Science Fiction and Fantasy Writers of America (SFWA) to the author of the best young adult or middle grade science fiction or fantasy book published in the United States in the preceding year.,"It is named to honor prolific science fiction and fantasy author Andre Norton (1912–2005), and it was established by then SFWA president Catherine Asaro and the SFWA Young Adult Fiction committee and announced on February 20, 2005.","Any published young adult or middle grade science fiction or fantasy novel is eligible for the prize, including graphic novels.",There is no limit on word count.,"The award is presented along with the Nebula Awards and follows the same rules for nominations and voting; as the awards are separate, works may be simultaneously nominated for both the Andre Norton award and a Nebula Award.",,,,,,,,,,,,,,,,,,,,,,,,"The Hork-Bajir Chronicles is the second companion book to the ""Animorphs"" series, written by K. A. Applegate.","With respect to continuity within the series, it takes place before book #23, ""The Pretender"", although the events told in the story occur between the time of ""The Ellimist Chronicles"" and ""The Andalite Chronicles"".","The book is introduced by Tobias, who flies to the valley of the free Hork-Bajir, where Jara Hamee tells him the story of how the Yeerks enslaved the Hork-Bajir, and how Aldrea, an Andalite, and her companion, Dak Hamee, a Hork-Bajir, tried to save their world from the invasion.","Animorphs is a science fantasy series of young adult books written by Katherine Applegate and her husband Michael Grant, writing together under the name K. A. Applegate, and published by Scholastic.","It is told in first person, with all six main characters taking turns narrating the books through their own perspectives."
Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,1,0.2222,1.0,No,no,The neighborhood in Istanbul where Laleli Mosque is located is [ANSWER_1].,The neighborhood in Istanbul where Esma Sultan Mansion is located is [ANSWER_2].,,,"Laleli, Fatih",Ortaköy,,,9,2,"The Laleli Mosque (Turkish: ""Laleli Camii, or Tulip Mosque"" ) is an 18th-century Ottoman imperial mosque located in Laleli, Fatih, Istanbul, Turkey.","The Sultan Ahmed Mosque or Sultan Ahmet Mosque (Turkish: ""Sultan Ahmet Camii"" ) is a historic mosque located in Istanbul, Turkey.","A popular tourist site, the Sultan Ahmed Mosque continues to function as a mosque today; men still kneel in prayer on the mosque's lush red carpet after the call to prayer.","The Blue Mosque, as it is popularly known, was constructed between 1609 and 1616 during the rule of Ahmed I.","Its Külliye contains Ahmed's tomb, a madrasah and a hospice.","Hand-painted blue tiles adorn the mosque’s interior walls, and at night the mosque is bathed in blue as lights frame the mosque’s five main domes, six minarets and eight secondary domes.","It sits next to the Hagia Sophia, another popular tourist site.","The Esma Sultan Mansion (Turkish: ""Esma Sultan Yalısı"" ), a historical yalı (English: waterside mansion ) located at Bosphorus in Ortaköy neighborhood of Istanbul, Turkey and named after its original owner Esma Sultan, is used today as a cultural center after being redeveloped.",Esma Sultan is the name of three daughters of three Ottoman Sultans:,,,,,,,,,,,,,,,,,,,,,,,"The Laleli Mosque (Turkish: ""Laleli Camii, or Tulip Mosque"" ) is an 18th-century Ottoman imperial mosque located in Laleli, Fatih, Istanbul, Turkey.","The Esma Sultan Mansion (Turkish: ""Esma Sultan Yalısı"" ), a historical yalı (English: waterside mansion ) located at Bosphorus in Ortaköy neighborhood of Istanbul, Turkey and named after its original owner Esma Sultan, is used today as a cultural center after being redeveloped.",,,
"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?",1,0.1429,0.5,New York City,"Greenwich Village, New York City","The director of the romantic comedy ""Big Stone Gap"" is [ANSWER_1].",,,,Adriana Trigiani,,,,7,2,"Big Stone Gap is a 2014 American drama romantic comedy film written and directed by Adriana Trigiani and produced by Donna Gigliotti for Altar Identity Studios, a subsidiary of Media Society.","Based on Trigiani's 2000 best-selling novel of the same name, the story is set in the actual Virginia town of Big Stone Gap circa 1970s.","The film had its world premiere at the Virginia Film Festival on November 6, 2014.",Just Another Romantic Wrestling Comedy is a 2006 film starring April Hunter and Joanie Laurer.,"This Romantic comedy film was premiered at New Jersey and New York City on December 1, 2006 and was released on DVD in the United States and the United Kingdom on April 17, 2007.","After the film's DVD release ""Just Another Romantic Wrestling Comedy"" won an ""Honorable Mention"" award at the New Jersey International Festival awards.","The release is being handled by ""Victory Multimedia"".",,,,,,,,,,,,,,,,,,,,,,,,,"Big Stone Gap is a 2014 American drama romantic comedy film written and directed by Adriana Trigiani and produced by Donna Gigliotti for Altar Identity Studios, a subsidiary of Media Society.","Adriana Trigiani is an Italian American best-selling author of sixteen books, television writer, film director, and entrepreneur based in Greenwich Village, New York City.",,,
2014 S/S is the debut album of a South Korean boy group that was formed by who?,1,0.2222,1.0,YG Entertainment,YG Entertainment,The South Korean boy group whose debut album is titled *2014 S/S* is [ANSWER_1].,The person or company that formed WINNER is [ANSWER_2].,,,WINNER,YG Entertainment,,,9,2,2014 S/S is the debut album of South Korean group WINNER.,"It was released on August 12, 2014 by the group's record label, YG Entertainment.",The members were credited for writing the lyrics and composing the majority of the album's songs.,This is the discography of South Korean boy group Seventeen.,"Seventeen (Hangul: 세븐틴), also stylized as SEVENTEEN or SVT, is a South Korean boy group formed by Pledis Entertainment in 2015.",They have released one album and four EPs.,"Winner (Hangul: 위너), often stylized as WINNER, is a South Korean boy group formed in 2013 by YG Entertainment and debuted in 2014.","It currently consists of four members, Jinwoo, Seunghoon, Mino and Seungyoon.","Originally a five-piece group with Taehyun, who later departed from the group in November 2016.",,,,,,,,,,,,,,,,,,,,,,,2014 S/S is the debut album of South Korean group WINNER.,"Winner (Hangul: 위너), often stylized as WINNER, is a South Korean boy group formed in 2013 by YG Entertainment and debuted in 2014.",,,
Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,0,0.2,0.5,[ANSWER_1],Eenasul Fateh,"The individual known by the stage name ""Aladin"" is [ANSWER_1].",,,,"a Bangladeshi-British cultural practitioner, magician, live artist and former international management consultant",,,,5,2,"Eenasul Fateh (Bengali: ঈনাসুল ফাতেহ ; born 3 April 1959), also known by his stage name Aladin, is a Bangladeshi-British cultural practitioner, magician, live artist and former international management consultant.","Mick Batyske (known by his stage name Mick, sometimes styled as MICK, and formerly Mick Boogie) is an American DJ and entrepreneur.","He is an A-list DJ and spun private parties for celebrities including Kanye West, LeBron James, Jay-Z and Will Smith.","In addition to his mix tape releases, he has performed in venues internationally, including New York City, Dubai, Tokyo, Las Vegas, and Los Angeles.","As an entrepreneur, he has invested in various start-up companies including Localeur, in which he is also an advisor and consultant.",,,,,,,,,,,,,,,,,,,,,,,,,,,"Eenasul Fateh (Bengali: ঈনাসুল ফাতেহ ; born 3 April 1959), also known by his stage name Aladin, is a Bangladeshi-British cultural practitioner, magician, live artist and former international management consultant.","Management consulting is the practice of helping organizations to improve their performance, operating primarily through the analysis of existing organizational problems and the development of plans for improvement.",,,
The arena where the Lewiston Maineiacs played their home games can seat how many people?,1,0.1818,1.0,"3,677","3,677 seated",The name of the arena where the Lewiston Maineiacs played their home games is [ANSWER_1].,The seating capacity of Androscoggin Bank Colisée is [ANSWER_2].,,,Androscoggin Bank Colisée,"3,677 seated",,,11,2,"The Lewiston Maineiacs were a junior ice hockey team of the Quebec Major Junior Hockey League based in Lewiston, Maine.",The team played its home games at the Androscoggin Bank Colisée.,"They were the second QMJHL team in the United States, and the only one to play a full season.",They won the President's Cup in 2007.,The 2006–07 QMJHL season was the 38th season in the history of the Quebec Major Junior Hockey League.,"The regular season ran from September 14, 2006 to March 18, 2007.",Eighteen teams played 70 games each in the schedule.,The Lewiston Maineiacs finished first overall in the regular season winning their first Jean Rougeau Trophy.,"Lewiston won 16 playoff games, losing only one, en route to their first President's Cup, defeating the Val-d'Or Foreurs in the finals.","The Androscoggin Bank Colisée (formerly Central Maine Civic Center and Lewiston Colisee) is a 4,000 capacity (3,677 seated) multi-purpose arena, in Lewiston, Maine, that opened in 1958.",In 1965 it was the location of the World Heavyweight Title fight during which one of the most famous sports photographs of the century was taken of Muhammed Ali standing over Sonny Liston.,,,,,,,,,,,,,,,,,,,,,The team played its home games at the Androscoggin Bank Colisée.,"The Androscoggin Bank Colisée (formerly Central Maine Civic Center and Lewiston Colisee) is a 4,000 capacity (3,677 seated) multi-purpose arena, in Lewiston, Maine, that opened in 1958.",,,
"Who is older, Annie Morton or Terry Richardson?",1,0.1875,1.0,Terry Richardson,Terry Richardson,Annie Morton's date of birth is [ANSWER_1].,Terry Richardson's date of birth is [ANSWER_2].,,,"October 8, 1970","August 14, 1965",,,16,3,"Annie Morton (born October 8, 1970) is an American model born in Pennsylvania.","She has appeared on the covers of ""British Vogue"", ""ID"", ""Marie Claire"", and other magazines.","She has been photographed by Helmut Newton; Peter Lindbergh; Annie Leibovitz; Richard Avedon; Juergen Teller; Paul Jasmin, Mary Ellen Mark and Terry Richardson, and modeled for Donna Karan, Givenchy, Guerlain, Chanel, ""Harper's Bazaar"", ""Sports Illustrated"" and Victoria's Secret.","A long time vegetarian, an advocate for organic lifestyle choices and natural healthcare.","She co-founded Tsi-La Organics, a ""Green Luxury"" company that creates and sells vegan, organic perfume and skin care products.","Madonna is a biography by English author Andrew Morton, chronicling the life of American recording artist Madonna.",The book was released in November 2001 by St. Martin's Press in the United States and in April 2002 by Michael O'Mara Books in the United Kingdom.,Morton decided to write a biography on Madonna in 2000.,The release was announced in April 2001 by St. Martin's Press.,"President and publisher Sally Richardson described the biography to contain details about Madonna's ambitions, her relationships and her lifestyle.","Terrence ""Uncle Terry"" Richardson (born August 14, 1965) is an American fashion and portrait photographer who has shot advertising campaigns for Marc Jacobs, Aldo, Supreme, Sisley, Tom Ford, and Yves Saint Laurent among others.","He has also done work for magazines such as ""Rolling Stone"", ""GQ"", ""Vogue"", ""Vanity Fair"", ""Harper's Bazaar"", ""i-D"", and ""Vice"".","Lady Gaga x Terry Richardson is a photo-book by American singer Lady Gaga and American photographer Terry Richardson, released on November 22, 2011 by Grand Central Publishing.",The book features more than 350 pictures of Gaga as taken by Richardson during a ten-month period from Gaga's performance at The Monster Ball Tour till the 2011 Grammy Awards.,"In addition to photographs, it includes a foreword written by the singer about her relationship with Richardson.",The duo had collaborated on other projects prior to the shooting of the book.,,,,,,,,,,,,,,,,"Annie Morton (born October 8, 1970) is an American model born in Pennsylvania.","She has been photographed by Helmut Newton; Peter Lindbergh; Annie Leibovitz; Richard Avedon; Juergen Teller; Paul Jasmin, Mary Ellen Mark and Terry Richardson, and modeled for Donna Karan, Givenchy, Guerlain, Chanel, ""Harper's Bazaar"", ""Sports Illustrated"" and Victoria's Secret.","Terrence ""Uncle Terry"" Richardson (born August 14, 1965) is an American fashion and portrait photographer who has shot advertising campaigns for Marc Jacobs, Aldo, Supreme, Sisley, Tom Ford, and Yves Saint Laurent among others.",,
Are Local H and For Against both from the United States?,1,0.2857,1.0,Yes,yes,The country of origin for the band Local H is [ANSWER_1].,The country of origin for the band For Against is [ANSWER_2].,,,American,United States,,,7,2,"Local H is an American rock band originally formed by guitarist and vocalist Scott Lucas, bassist Matt Garcia, drummer Joe Daniels, and lead guitarist John Sparkman in Zion, Illinois in 1987.",The members all met in high school in 1987 and founded Local H three years later.,Ophur was a rock band from the Chicago suburbs in DuPage County.,"The band performed in the midwestern United States over the course of seven years with national acts including The Plain White T's, Sum 41, Violent Femmes, Local H, Lucky Boys Confusion, Veruca Salt, Two Skinee J's, Duvall, Sleeping at Last, and others.","Their music has been described as an eclectic amalgamation of U2, Red Hot Chili Peppers, and Pink Floyd.","For Against is a United States post-punk/dream pop band from Lincoln, Nebraska.","Despite numerous lineup shuffles and some periods of dormancy, the band has produced material steadily from its 1984 inception to the present.",,,,,,,,,,,,,,,,,,,,,,,,,"Local H is an American rock band originally formed by guitarist and vocalist Scott Lucas, bassist Matt Garcia, drummer Joe Daniels, and lead guitarist John Sparkman in Zion, Illinois in 1987.","For Against is a United States post-punk/dream pop band from Lincoln, Nebraska.",,,
